    == Status ==
Current time: 2022-11-19 21:24:59 (running for 03:24:08.25)
Memory usage on this node: 9.3/15.4 GiB 
Using AsyncHyperBand: num_stopped=323
Bracket: Iter 32.000: -0.9614356261372566 | Iter 16.000: -1.0854247627735139 | Iter 8.000: -1.2630366757392884 | Iter 4.000: -1.4273403955459594 | Iter 2.000: -1.5695729044914244 | Iter 1.000: -1.739674667930603
Resources requested: 0/20 CPUs, 0/1 GPUs, 0.0/7.33 GiB heap, 0.0/3.66 GiB objects (0.0/1.0 accelerator_type:G)
Result logdir: /home/braian/ray_results/train_cifar_2022-11-19_18-00-51
Number of trials: 324/324 (1 ERROR, 323 TERMINATED)
+-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
| Trial name              | status     | loc                   |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |     loss |   accuracy |   training_iteration |
| train_cifar_40296_00080 | TERMINATED | 192.168.0.187:441415  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       160 |       124 | 1.18033  |     0.5847 |                   16 |
| train_cifar_40296_00081 | TERMINATED | 192.168.0.187:455146  |           16 |          0.0001 |                    6 |                      3 |                   16 |                      2 |       120 |        84 | 1.84946  |     0.3325 |                    1 |
| train_cifar_40296_00082 | TERMINATED | 192.168.0.187:457745  |           16 |          0.0001 |                   12 |                      3 |                   16 |                      2 |       120 |        84 | 1.73943  |     0.3558 |                    1 |
| train_cifar_40296_00083 | TERMINATED | 192.168.0.187:460469  |           16 |          0.0001 |                   18 |                      3 |                   16 |                      2 |       120 |        84 | 1.75842  |     0.3472 |                    1 |
| train_cifar_40296_00084 | TERMINATED | 192.168.0.187:463329  |           16 |          0.0001 |                    6 |                      3 |                   22 |                      2 |       120 |        84 | 1.76143  |     0.3598 |                    1 |
| train_cifar_40296_00085 | TERMINATED | 192.168.0.187:466574  |           16 |          0.0001 |                   12 |                      3 |                   22 |                      2 |       120 |        84 | 1.76301  |     0.3498 |                    1 |
| train_cifar_40296_00086 | TERMINATED | 192.168.0.187:469210  |           16 |          0.0001 |                   18 |                      3 |                   22 |                      2 |       120 |        84 | 0.917341 |     0.688  |                   50 |
| train_cifar_40296_00087 | TERMINATED | 192.168.0.187:469239  |           16 |          0.0001 |                    6 |                      3 |                   28 |                      2 |       120 |        84 | 1.75102  |     0.363  |                    1 |
| train_cifar_40296_00088 | TERMINATED | 192.168.0.187:470858  |           16 |          0.0001 |                   12 |                      3 |                   28 |                      2 |       120 |        84 | 1.00683  |     0.6415 |                   32 |
| train_cifar_40296_00089 | TERMINATED | 192.168.0.187:496966  |           16 |          0.0001 |                   18 |                      3 |                   28 |                      2 |       120 |        84 | 0.970702 |     0.6842 |                   50 |
| train_cifar_40296_00090 | TERMINATED | 192.168.0.187:504277  |           16 |          0.0001 |                    6 |                      3 |                   16 |                      2 |       140 |        84 | 1.7806   |     0.3572 |                    1 |
| train_cifar_40296_00091 | TERMINATED | 192.168.0.187:506982  |           16 |          0.0001 |                   12 |                      3 |                   16 |                      2 |       140 |        84 | 1.59675  |     0.416  |                    2 |
| train_cifar_40296_00092 | TERMINATED | 192.168.0.187:510286  |           16 |          0.0001 |                   18 |                      3 |                   16 |                      2 |       140 |        84 | 1.58918  |     0.4159 |                    2 |
| train_cifar_40296_00093 | TERMINATED | 192.168.0.187:516096  |           16 |          0.0001 |                    6 |                      3 |                   22 |                      2 |       140 |        84 | 1.74367  |     0.3635 |                    1 |
| train_cifar_40296_00094 | TERMINATED | 192.168.0.187:518931  |           16 |          0.0001 |                   12 |                      3 |                   22 |                      2 |       140 |        84 | 1.74269  |     0.3608 |                    1 |
| train_cifar_40296_00095 | TERMINATED | 192.168.0.187:521741  |           16 |          0.0001 |                   18 |                      3 |                   22 |                      2 |       140 |        84 | 1.46673  |     0.4683 |                    4 |
| train_cifar_40296_00096 | TERMINATED | 192.168.0.187:524543  |           16 |          0.0001 |                    6 |                      3 |                   28 |                      2 |       140 |        84 | 1.83652  |     0.3202 |                    1 |
| train_cifar_40296_00097 | TERMINATED | 192.168.0.187:525646  |           16 |          0.0001 |                   12 |                      3 |                   28 |                      2 |       140 |        84 | 0.932853 |     0.6886 |                   50 |
| train_cifar_40296_00098 | TERMINATED | 192.168.0.187:526220  |           16 |          0.0001 |                   18 |                      3 |                   28 |                      2 |       140 |        84 | 0.945716 |     0.6937 |                   50 |
| train_cifar_40296_00099 | TERMINATED | 192.168.0.187:563719  |           16 |          0.0001 |                    6 |                      3 |                   16 |                      2 |       160 |        84 | 1.84639  |     0.319  |                    1 |
| train_cifar_40296_00100 | TERMINATED | 192.168.0.187:564374  |           16 |          0.0001 |                   12 |                      3 |                   16 |                      2 |       160 |        84 | 1.81078  |     0.3365 |                    1 |
| train_cifar_40296_00101 | TERMINATED | 192.168.0.187:565249  |           16 |          0.0001 |                   18 |                      3 |                   16 |                      2 |       160 |        84 | 1.27758  |     0.5465 |                    8 |
| train_cifar_40296_00102 | TERMINATED | 192.168.0.187:565676  |           16 |          0.0001 |                    6 |                      3 |                   22 |                      2 |       160 |        84 | 1.81902  |     0.3442 |                    1 |
| train_cifar_40296_00103 | TERMINATED | 192.168.0.187:567453  |           16 |          0.0001 |                   12 |                      3 |                   22 |                      2 |       160 |        84 | 0.927059 |     0.6896 |                   50 |
| train_cifar_40296_00104 | TERMINATED | 192.168.0.187:570422  |           16 |          0.0001 |                   18 |                      3 |                   22 |                      2 |       160 |        84 | 1.28966  |     0.5346 |                    8 |
| train_cifar_40296_00105 | TERMINATED | 192.168.0.187:578190  |           16 |          0.0001 |                    6 |                      3 |                   28 |                      2 |       160 |        84 | 1.57984  |     0.4181 |                    2 |
| train_cifar_40296_00106 | TERMINATED | 192.168.0.187:581405  |           16 |          0.0001 |                   12 |                      3 |                   28 |                      2 |       160 |        84 | 0.949334 |     0.6879 |                   50 |
| train_cifar_40296_00107 | TERMINATED | 192.168.0.187:602793  |           16 |          0.0001 |                   18 |                      3 |                   28 |                      2 |       160 |        84 | 0.95172  |     0.6933 |                   50 |
| train_cifar_40296_00108 | TERMINATED | 192.168.0.187:620236  |           16 |          0.0001 |                    6 |                      3 |                   16 |                      2 |       120 |       104 | 1.76784  |     0.3413 |                    1 |
| train_cifar_40296_00109 | TERMINATED | 192.168.0.187:623062  |           16 |          0.0001 |                   12 |                      3 |                   16 |                      2 |       120 |       104 | 1.62176  |     0.4073 |                    2 |
| train_cifar_40296_00110 | TERMINATED | 192.168.0.187:626301  |           16 |          0.0001 |                   18 |                      3 |                   16 |                      2 |       120 |       104 | 1.74944  |     0.3582 |                    1 |
| train_cifar_40296_00111 | TERMINATED | 192.168.0.187:628889  |           16 |          0.0001 |                    6 |                      3 |                   22 |                      2 |       120 |       104 | 1.79622  |     0.3487 |                    1 |
| train_cifar_40296_00112 | TERMINATED | 192.168.0.187:631606  |           16 |          0.0001 |                   12 |                      3 |                   22 |                      2 |       120 |       104 | 1.60821  |     0.4094 |                    2 |
